"play/step","miner_200_easy - _step","miner_200_easy - _step__MIN","miner_200_easy - _step__MAX","miner_200_easy - play/episodic_reward","miner_200_easy - play/episodic_reward__MIN","miner_200_easy - play/episodic_reward__MAX","miner_200_easy - test/episodic_reward","miner_200_easy - test/episodic_reward__MIN","miner_200_easy - test/episodic_reward__MAX"
"116844","1162","1162","1162","","","","1","1","1"
"116901","1163","1163","1163","","","","0","0","0"
"116992","1152","1152","1152","0","0","0","","",""
"117901","1173","1173","1173","","","","0","0","0"
"117992","1164","1164","1164","0","0","0","","",""
"118011","1165","1165","1165","1","1","1","","",""
"118084","1174","1174","1174","","","","1","1","1"
"119011","1175","1175","1175","0","0","0","","",""
"119084","1184","1184","1184","","","","0","0","0"
"120011","1185","1185","1185","0","0","0","","",""
"120084","1194","1194","1194","","","","0","0","0"
"120104","1195","1195","1195","","","","0","0","0"
"120168","1196","1196","1196","","","","0","0","0"
"121011","1197","1197","1197","0","0","0","","",""
"121020","1198","1198","1198","1","1","1","","",""
"121168","1207","1207","1207","","","","0","0","0"
"121231","1208","1208","1208","","","","0","0","0"
"122020","1209","1209","1209","0","0","0","","",""
"122046","1210","1210","1210","0","0","0","","",""
"122231","1219","1219","1219","","","","0","0","0"
"122234","1220","1220","1220","","","","0","0","0"
"123046","1221","1221","1221","0","0","0","","",""
"123079","1222","1222","1222","0","0","0","","",""
"123234","1230","1230","1230","","","","0","0","0"
"123606","1231","1231","1231","","","","0","0","0"
"124079","1232","1232","1232","0","0","0","","",""
"124107","1233","1233","1233","0","0","0","","",""
"124220","1234","1234","1234","0","0","0","","",""
"124606","1243","1243","1243","","","","0","0","0"
"125220","1244","1244","1244","0","0","0","","",""
"125288","1245","1245","1245","1","1","1","","",""
"125385","1246","1246","1246","1","1","1","","",""
"125458","1247","1247","1247","1","1","1","","",""
"125606","1256","1256","1256","","","","0","0","0"
"126458","1257","1257","1257","0","0","0","","",""
"126606","1266","1266","1266","","","","0","0","0"
"127458","1267","1267","1267","0","0","0","","",""
"127606","1276","1276","1276","","","","0","0","0"
"128458","1277","1277","1277","0","0","0","","",""
"128606","1285","1285","1285","","","","0","0","0"
"129458","1286","1286","1286","0","0","0","","",""
"129606","1290","1290","1290","","","","0","0","0"
"129638","1291","1291","1291","","","","1","1","1"
"129669","1292","1292","1292","","","","0","0","0"
"129727","1293","1293","1293","","","","0","0","0"
"129747","1294","1294","1294","","","","0","0","0"
"130458","1295","1295","1295","0","0","0","","",""
"130747","1304","1304","1304","","","","0","0","0"
"131458","1305","1305","1305","0","0","0","","",""
"131747","1314","1314","1314","","","","0","0","0"
"132458","1315","1315","1315","0","0","0","","",""
"132747","1323","1323","1323","","","","0","0","0"
"133458","1324","1324","1324","0","0","0","","",""
"133747","1333","1333","1333","","","","0","0","0"
"133856","1334","1334","1334","","","","0","0","0"
"133984","1335","1335","1335","","","","0","0","0"
"134458","1336","1336","1336","0","0","0","","",""
"134473","1337","1337","1337","1","1","1","","",""
"134634","1338","1338","1338","0","0","0","","",""
"134984","1347","1347","1347","","","","0","0","0"
"135634","1348","1348","1348","0","0","0","","",""
"135982","1349","1349","1349","0","0","0","","",""
