"play/step","coinrun_500_hard - _step","coinrun_500_hard - _step__MIN","coinrun_500_hard - _step__MAX","coinrun_500_hard - play/episodic_reward","coinrun_500_hard - play/episodic_reward__MIN","coinrun_500_hard - play/episodic_reward__MAX","coinrun_500_hard - test/episodic_reward","coinrun_500_hard - test/episodic_reward__MIN","coinrun_500_hard - test/episodic_reward__MAX"
"48735","1364","1364","1364","","","","0","0","0"
"48975","1344","1344","1344","10","10","10","","",""
"49006","1345","1345","1345","10","10","10","","",""
"49183","1391","1391","1391","","","","10","10","10"
"49344","1393","1393","1393","","","","10","10","10"
"49481","1395","1395","1395","","","","0","0","0"
"49599","1397","1397","1397","","","","0","0","0"
"49603","1376","1376","1376","0","0","0","","",""
"49997","1382","1382","1382","0","0","0","","",""
"50048","1383","1383","1383","10","10","10","","",""
"50354","1403","1403","1403","10","10","10","","",""
"50423","1426","1426","1426","","","","10","10","10"
"50468","1404","1404","1404","0","0","0","","",""
"50477","1427","1427","1427","","","","10","10","10"
"50790","1408","1408","1408","10","10","10","","",""
"50898","1409","1409","1409","0","0","0","","",""
"51093","1411","1411","1411","0","0","0","","",""
"51135","1434","1434","1434","","","","10","10","10"
"51371","1458","1458","1458","","","","10","10","10"
"51443","1459","1459","1459","","","","10","10","10"
"51899","1446","1446","1446","0","0","0","","",""
"51928","1447","1447","1447","0","0","0","","",""
"52085","1467","1467","1467","","","","10","10","10"
"52132","1468","1468","1468","","","","10","10","10"
"52148","1449","1449","1449","0","0","0","","",""
"52237","1471","1471","1471","0","0","0","","",""
"52364","1473","1473","1473","10","10","10","","",""
"52559","1476","1476","1476","10","10","10","","",""
"52645","1478","1478","1478","10","10","10","","",""
"52668","1499","1499","1499","","","","0","0","0"
"52818","1501","1501","1501","","","","10","10","10"
"52906","1483","1483","1483","10","10","10","","",""
"53063","1486","1486","1486","0","0","0","","",""
"53349","1526","1526","1526","","","","0","0","0"
"53508","1510","1510","1510","10","10","10","","",""
"53632","1529","1529","1529","","","","10","10","10"
"53676","1512","1512","1512","0","0","0","","",""
"53700","1530","1530","1530","","","","0","0","0"
"53727","1513","1513","1513","10","10","10","","",""
"53752","1531","1531","1531","","","","10","10","10"
"53874","1514","1514","1514","10","10","10","","",""
"54305","1537","1537","1537","0","0","0","","",""
"54718","1543","1543","1543","10","10","10","","",""
"54751","1544","1544","1544","0","0","0","","",""
"55076","1549","1549","1549","0","0","0","","",""
"55112","1568","1568","1568","","","","0","0","0"
"55272","1551","1551","1551","0","0","0","","",""
"55615","1576","1576","1576","0","0","0","","",""
"55718","1577","1577","1577","10","10","10","","",""
"55819","1579","1579","1579","10","10","10","","",""
"55870","1605","1605","1605","","","","0","0","0"
"55991","1607","1607","1607","","","","0","0","0"
"56006","1582","1582","1582","0","0","0","","",""
"56039","1583","1583","1583","10","10","10","","",""
